Date,Name,Year,Letterboxd URI
2026-03-12,La Jetée,1962,https://boxd.it/29Sk
2026-03-13,Once Upon a Time in the West,1968,https://boxd.it/2az4
2026-03-18,Stellar,1993,https://boxd.it/48Ra
2026-03-22,Taste of Cherry,1997,https://boxd.it/1m8W
2026-03-22,Playing,2007,https://boxd.it/33Oe
2026-03-24,Between Shores,2026,https://boxd.it/11sYS
2026-04-03,"São Paulo, Incorporated",1965,https://boxd.it/2BaA
2026-04-03,Thunderbolt and Lightfoot,1974,https://boxd.it/20jK
2026-04-24,The Searchers,1956,https://boxd.it/25HC
2026-04-24,"Duck, You Sucker",1971,https://boxd.it/2ayU
2026-04-25,Gran Torino,2008,https://boxd.it/1Qzy
2026-05-03,Babilônia 2000,2001,https://boxd.it/7v84
2026-05-05,A Special Day,1977,https://boxd.it/Xqc
2026-05-07,Thingu,2012,https://boxd.it/FyGQ
2026-05-12,Four Adventures of Reinette and Mirabelle,1987,https://boxd.it/18QA
2026-05-17,"Life, and Nothing More…",1992,https://boxd.it/2WEc
2026-06-08,Rear Window,1954,https://boxd.it/2a6Q
2026-07-13,Love in the Afternoon,1972,https://boxd.it/1Svo
2026-07-13,Grizzly Man,2005,https://boxd.it/2ag2
2026-07-19,Claire's Knee,1970,https://boxd.it/26aO
2026-07-20,Rope,1948,https://boxd.it/28yo
2026-08-02,Deep Red,1975,https://boxd.it/1E1E
2026-08-10,"Master, a Building in Copacabana",2002,https://boxd.it/gJK
2026-08-17,Close-Up,1990,https://boxd.it/1m9q
2026-08-19,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
