Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-23,Pauline at the Beach,1983,https://boxd.it/dgNH4V,4,,"Curto muito as rimas visuais que o Rohmer coloca nos filmes, como o portão se abrindo no início e se fechando no final, e me impressiona ainda mais em <b><i>Pauline at the Beach</i></b> como o diretor não toma partido e apenas mostra o desenrolar das ações com essa imparcialidade que é praticamente a marca dele.",,2026-02-23
2026-03-04,Pixote,1980,https://boxd.it/dnXZpb,1.5,,"Expor crianças a situações de violência sob o pretexto da arte é moralmente indefensável, principalmente porque a produção não deu suporte ao elenco não-profissional. Cenas como a da violência sexual explícita sofrida pelo menino no primeiro ato são o maior exemplo desse absurdo, o que torna esse filme intragável e injustificável. 
E como as atuações são fracas. É nítido que faltou preparo da direção para orientar tanto os jovens quanto os próprios atores de ofício, com exceção da Marília Pera, que também tão muito mal. Além disso, o filme se perde em uma narrativa que choca apenas pelo choque e reforça essa visão elitista de filme pra gringo ver. No fim, registrar essa crueldade sem pensar no impacto psicológico dos intérpretes é uma negligência ética e deixa de ser cinema.",,2026-03-03
2026-03-06,Dreams,1990,https://boxd.it/dpnfaF,5,,"Curto como o Kurosawa filma os próprios sonhos em <b><i>Dreams</i></b> e os deixa no ar, sem dar nenhuma explicação, para que a gente interprete os oito por ele. Sinto que até o alter ego dele em cena respeita essa ideia ao se colocar sempre como um ouvinte, o que projeta o espectador naquele lugar e faz com que o sonho dele passe a ser o <i>nosso</i>.",,2026-03-04
2026-03-08,Before Sunrise,1995,https://boxd.it/drarrF,3.5,,"Senti, muitas vezes, que a profundidade dos diálogos não ultrapassa a barreira diegética, ficando restrita ao recorte da cena e não me permitindo projetar a vida dos personagens para fora daquele espaço.",,2026-03-08
2026-03-09,Before Sunset,2004,https://boxd.it/dse7F5,4,,"Em<b><i> Before Sunset</i></b>, o foco se desloca para a fala da Céline, enquanto o Jesse assume uma postura de escuta. Diferente de <i>Before Sunrise</i>, que girava mais em torno da proposição do Jesse, aqui a narrativa prioriza a perspectiva dela.
O livro funciona como um dispositivo de síntese: como a versão dele já foi apresentada na própria obra, ele não precisa mais se explicar, então ela se torna a condutora do diálogo. O cenário em Paris reforça isso: o espaço é dela, e é ela quem guia o encontro.
A câmera acompanha esse trajeto em planos-sequência, destacando a reatividade do Jesse e confrontando a lembrança que ele guardou no papel com a complexidade da Céline do presente.",,2026-03-09
2026-03-10,A Perfect World,1993,https://boxd.it/dsYTyX,5,,"<blockquote><b>Butch Haynes:</b> Hey - have you ever ridden in a time machine before?  </blockquote><blockquote><b>Phillip Perry:</b> [shakes his head]  </blockquote><blockquote><b>Butch Haynes:</b> Well, sure you have - what do you think <i>this</i> is?  </blockquote><blockquote><b>Phillip Perry:</b> A car.  </blockquote><blockquote><b>Butch Haynes:</b> You're lookin' at this thing bass-ackward. This is a 20th-century time machine. I'm the captain...  </blockquote><blockquote><b>Butch Haynes:</b> And you're the navigator. Out there?  </blockquote><blockquote><b>Butch Haynes:</b> That's the future. And back there?  </blockquote><blockquote><b>Butch Haynes:</b> Well, that's the past. If life's moving too slow, and you wanna project yourself into the future? Just step on the gas, right here.  </blockquote><blockquote><b>Butch Haynes:</b> See?  </blockquote><blockquote><b>Butch Haynes:</b> If you wanna slow her down? Well, hell - you just step on the brake here, and you slow her down.  </blockquote><blockquote><b>Butch Haynes:</b> This is the present, Phillip. Enjoy it while it lasts.</blockquote>",,2026-03-09
2026-03-11,Where Is the Friend's House?,1987,https://boxd.it/dtF1lr,5,,"<i>Kiarostami</i> revela em Ahmed um herói (!) empático, bondoso, cuidadoso e altruísta, mas, acima de tudo, um ouvinte que ocupa o lugar de sensibilidade que os mais velhos abandonaram.
Ao colocar a flor que ganhou do idoso dentro do caderno do amigo, Ahmed realiza um ato de amor que ignora a exaustão e não se pergunta se o trajeto é tranquilo ou razoável, sustentando um compromisso que assumiu sozinho pra proteger outra criança que também perdeu a infância e indo até o fim só porque é realmente o certo a se fazer, enquanto o mundo ao redor insiste para ele desistir e voltar para casa.",,2026-03-10
2026-03-12,La Jetée,1962,https://boxd.it/dukXpj,5,,O sonho e a lembrança acabam sendo a mesma coisa.,,2026-03-12
2026-03-13,Once Upon a Time in the West,1968,https://boxd.it/duUU95,5,,"É emblemático que o personagem principal se chame Harmonica, pois o filme é tão harmônico quanto ele ao deixar que a gaita e (quase sempre) o silêncio ditem o tempo de cada plano.",,2026-03-12
2026-03-18,Stellar,1993,https://boxd.it/dzt4Mv,4,,"É tipo enxergar desenhos em nuvens, só que em alta velocidade. No meio de tanta pintura e movimento, o olho acaba projetando rostos e seres vivos que aparecem e somem num piscar de olhos…",,2026-03-18
2026-03-22,Playing,2007,https://boxd.it/dCWQ7b,5,,"Só de ligar a câmera, nada continua sendo 100% real. Há sempre uma performance, uma mentirinha, e dá pra ver isso logo de cara quando a Marília Pêra diz que, no choro de verdade, a pessoa tenta esconder a lágrima, enquanto outras mulheres desabam sem esconder nada, mostrando que o sentimento não tem um jeito certo de aparecer.",helene,2026-03-22
2026-03-24,Between Shores,2026,https://boxd.it/dEYP0P,4,,"Filmar a natureza exige sensibilidade. Filmar uma pessoa que dedica sua vida a ela, vivendo do rio, exige ainda mais sensibilidade; afinal, o que seria do Pai sem o seu Filho, a natureza?",,2026-03-24
2026-04-03,Thunderbolt and Lightfoot,1974,https://boxd.it/dNI03d,5,,"As composições, os movimentos (mesmo quando a câmera tá estática)... Lindo.",,2026-04-02
2026-04-13,Portrait of a Young Girl at the End of the 60s in Brussels,1994,https://boxd.it/dXjWx1,4,,"A cena da Michèle e do Paul entrando no quarto de bebê pela janela é foda demais. A câmera faz a janela parecer a passagem para um ventre, como se fosse um renascimento mesmo. É como se eles estivessem tentando voltar para o início de tudo pra apagar as marcas do passado e esse peso existencial que carregam. Voltar a ser bebê pra começar do zero.",,2026-04-12
2026-04-24,"Duck, You Sucker",1971,https://boxd.it/e5Qu8b,5,,"Se fala muito sobre o início de <i>Era Uma Vez no Oeste</i>, mas o primeiro ato de <b><i>Duck You Sucker</i></b> se tornou o meu favorito do Leone.",,2026-04-23
2026-04-25,Gran Torino,2008,https://boxd.it/e6xrrb,5,Yes,"<i><b>Gran Torino</b></i> é um dos filmes mais importantes da minha vida. Vi pela primeira vez numa aula no ensino médio e já revi diversas vezes, mas fazia algum tempo que não o via. Vi agora com meu pai.
É muito foda como o Clint trabalha a imagem da bandeira dos Estados Unidos nesse filme. Até o personagem dele realmente se tornar amigo do Thao, a bandeira aparece sempre acima ou ao lado dele. Depois que a amizade começa, ela quase desaparece. A partir dali o que importa são as pessoas, e não mais o que os EUA representava pra ele.
O domínio do Clint na luz e sombra aqui é muito foda também. Na cena em que seu personagem vai falar com o padre, logo depois de ver o que aconteceu com a Sue, o trabalho de sombra é absurdo. A escuridão no rosto dele reflete exatamente o que está sentindo e a decisão que ele já tomou pro ato final.",,2026-04-24
2026-05-03,Babilônia 2000,2001,https://boxd.it/edhW7d,5,,O que sobra é a esperança…,,2026-05-02
2026-05-12,Four Adventures of Reinette and Mirabelle,1987,https://boxd.it/ekywAb,3.5,,"A Hora Azul, o Raio Verde... estamos sempre buscando esses momentos.",,2026-05-11
2026-07-13,Love in the Afternoon,1972,https://boxd.it/fcB7wl,5,,"Rohmer filma a tentação com aquela naturalidade que lhe é própria, tratando-a não como um grande ""arrebatamento"", mas quase como uma distração na rotina de um burguês. A iminência da traição se confunde com a própria lógica do capitalismo, onde a cidade de Paris transforma o desejo em consumo, e as mulheres em imagens idealizadas por Frédéric. Os flertes com a Chloé acontecem justamente no ""horário comercial"", nos intervalos de uma vida confortável e estruturada, em que a ideia de trair vira uma fuga da ""burocracia"" do casamento. E é justamente essa naturalidade que sempre busco nos filmes dele...",,2026-07-12
2026-07-26,Boyfriends and Girlfriends,1987,https://boxd.it/fr3twf,5,Yes,"Revisto no CINUSP.

Melhor Rohmer.",helene,2026-07-25
2026-08-10,GoodFellas,1990,https://boxd.it/fJPhQP,3,Yes,"Rever filmes é importante mesmo. Tirando as ótimas atuações do elenco e alguns momentos isolados, como a cena cômica da lâmina de barbear na prisão, este aqui é um filme puramente tecnicista.",,2026-08-09
2026-08-13,A Tale of Autumn,1998,https://boxd.it/fNQk3f,4,,"A encenação de Rohmer é muito encantadora pelo modo como respeita o espaço da Magali. Ao enquadrar Magali de costas, virada para os vinhedos e quase sempre recuada no plano, ele evita expor a personagem. A posição do corpo em cena demonstra essa mistura de timidez e orgulho sem a necessidade de grandes discursos.",,2026-08-12
2026-08-19,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/fUwV6j,3,Yes,<b>Visto na versão estendida.</b>,,2026-08-18
